venue,avg_score
ICC Academy Ground No 2,155.8
"ICC Academy Ground No 2, Dubai",102.8
"ICC Academy, Dubai",134.59
ICC Global Cricket Academy,132.5
"Independence Park, Port Vila",143.1
Indian Association Ground,145.06
"Indian Association Ground, Singapore",132.6
Integrated Polytechnic Regional Centre,126.47
"Ishoj Cricket Club, Vejledalen",140.0
JSCA International Stadium Complex,157.0
"JSCA International Stadium Complex, Ranchi",164.5
Jade Stadium,193.0
"Jimmy Powell Oval, Cayman Islands",133.46
Jinja Cricket Ground,93.0
"John Davies Oval, Queenstown",156.5
Johor Cricket Academy Oval,103.0
Junction Oval,129.56
Kaizuka Cricket Ground,106.0
Kennington Oval,151.65
"Kennington Oval, London",154.25
"Kensington Oval, Barbados",94.67
"Kensington Oval, Bridgetown",151.94
"Kensington Oval, Bridgetown, Barbados",146.48
Kerava National Cricket Ground,131.64
Kerrydale Oval,116.0
King George V Sports Ground,125.44
"King George V Sports Ground, Castel",153.38
Kingsmead,146.83
"Kingsmead, Durban",193.0
Kinrara Academy Oval,137.66
"Kinrara Academy Oval, Kuala Lumpur",105.12
Koge Cricket Club,129.4
Koge Cricket Club 2,147.5
Kyambogo Cricket Oval,115.5
LC de Villiers Oval,119.0
La Manga Club Bottom Ground,91.4
La Manga Club Top Ground,116.91
Lalabhai Contractor Stadium,135.75
Las Caballerizas,110.0
Lisicji Jarak Cricket Ground,145.4
Lochlands,98.43
Lord's,157.6
"Lord's, London",155.0
Los Reyes Polo Club,105.75
Lugogo Cricket Oval,135.33
M Chinnaswamy Stadium,143.11
"M Chinnaswamy Stadium, Bangalore",28.0
"M Chinnaswamy Stadium, Bengaluru",160.0
M.Chinnaswamy Stadium,162.0
"MA Chidambaram Stadium, Chepauk",150.5
"MA Chidambaram Stadium, Chepauk, Chennai",153.75
Maharashtra Cricket Association Stadium,151.0
"Maharashtra Cricket Association Stadium, Pune",193.5
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",130.71
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",121.32999999999998
"Malahide, Dublin",162.0
"Malek Cricket Ground, Ajman",108.0
Malkerns Country Club oval,151.2
Mangaung Oval,142.67
Manuka Oval,153.23
"Manuka Oval, Canberra",147.5
"Maple Leaf North-East Ground, King City",197.5
Maple Leaf North-West Ground,134.5
"Maple Leaf North-West Ground, King City",126.71
"Marina Ground, Corfu",110.33
"Marrara Stadium, Darwin",198.0
Marsa Sports Club,155.06
McLean Park,171.4
"McLean Park, Napier",147.0
"Meersen, Gent",124.0
Melbourne Cricket Ground,143.96
Mercantile Cricket Association Ground,132.0
"Mission Road Ground, Mong Kok, Hong Kong",143.3
"Mladost Cricket Ground, Zagreb",148.0
Moara Vlasiei Cricket Ground,112.0
"Moara Vlasiei Cricket Ground, Ilfov County",146.78
Mombasa Sports Club Ground,115.0
Morodok Techo National Stadium,51.0
Moses Mabhida Stadium,168.0
Mulpani Cricket Ground,151.92
Multan Cricket Stadium,155.33
"N'Du Stadium, Noumea, New Caledonia",92.5
"Namibia Cricket Ground, Windhoek",113.5
Narendra Modi Stadium,170.6
"Narendra Modi Stadium, Ahmedabad",234.0
"Nassau County International Cricket Stadium, New York",107.62
"National Cricket Stadium, Grenada",208.0
"National Cricket Stadium, St George's",74.0
"National Cricket Stadium, St George's, Grenada",175.14
"National Sports Academy, Sofia",154.88
National Stadium,152.33
"National Stadium, Hamilton",164.0
"National Stadium, Karachi",157.73
"New Farnley CC, Leeds",99.0
New Wanderers Stadium,168.6
Newlands,152.92
"Newlands, Cape Town",152.58
"Nigeria Cricket Federation Oval 1, Abuja",94.0
"Nigeria Cricket Federation Oval 2, Abuja",109.8
Nondescripts Cricket Club Ground,86.0
North Sydney Oval,155.67
"North Sydney Oval, Sydney",159.0
OUTsurance Oval,168.0
Old Hararians,120.75
Old Trafford,151.0
"Old Trafford, Manchester",195.5
P Sara Oval,119.5
"P Sara Oval, Colombo",121.33
Pallekele International Cricket Stadium,167.96
"Pembroke Cricket Club, Sandymount",151.0
"Pembroke Cricket Club, Sandymount, Dublin",143.0
Perth Stadium,149.29
Pierre Werner Cricket Ground,142.6
Pokhara Rangasala,82.25
Prairie View Cricket Complex,155.71
Providence Stadium,138.76
"Providence Stadium, Guyana",115.86
Pukekura Park,134.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",157.43
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",208.0
"Punjab Cricket Association Stadium, Mohali",206.0
"Queen's Park Oval, Port of Spain",129.67
Queens Sports Club,168.0
"Queens Sports Club, Bulawayo",152.78
R Premadasa Stadium,141.7
"R Premadasa Stadium, Colombo",128.75
"R.Premadasa Stadium, Khettarama",163.5
"Rajiv Gandhi International Stadium, Uppal",207.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",241.5
Rangiri Dambulla International Stadium,138.75
Rawalpindi Cricket Stadium,130.75
"Reforma Athletic Club, Naucalpan",65.8
Riverside Ground,130.2
"Riverside Ground, Chester-le-Street",153.0
Roma Cricket Ground,134.35
"Royal Brussels Cricket Club Ground, Waterloo",154.9
Royal Chiangmai Golf Club,100.25
Royal Selangor Club,115.33
"Royal Selangor Club, Kuala Lumpur",113.16999999999999
"Ruaraka Sports Club Ground, Nairobi",195.0
"Sabina Park, Kingston",134.0
"Sabina Park, Kingston, Jamaica",181.38
San Albano,316.5
Sano International Cricket Ground,121.17
Sano International Cricket Ground 2,90.0
Santarem Cricket Ground,150.11
Sao Fernando Polo and Cricket Club,116.5
"Sardar Patel Stadium, Motera",192.0
Saurashtra Cricket Association Stadium,183.33
"Saurashtra Cricket Association Stadium, Rajkot",189.33000000000004
"Sawai Mansingh Stadium, Jaipur",164.0
Saxton Oval,151.75
"Saxton Oval, Nelson",174.0
"Scott Page Field, Vinor",140.94
Seddon Park,168.24
"Seddon Park, Hamilton",194.0
Seebarn Cricket Centre,143.0
"Seebarn Cricket Centre, Lower Austria",165.0
"Selangor Turf Club, Kuala Lumpur",95.19
Senwes Park,132.11
"Senwes Park, Potchefstroom",137.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",174.0
Sharjah Cricket Stadium,138.68
Sheikh Zayed Stadium,134.43
"Sheikh Zayed Stadium, Abu Dhabi",116.0
Shere Bangla National Stadium,145.46
"Shere Bangla National Stadium, Mirpur",136.03
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",127.0
"Sikh Union Club Ground, Nairobi",140.12
"Simar Cricket Ground, Rome",138.53
"Simonds Stadium, South Geelong",137.0
Singapore National Cricket Ground,125.47
Sinhalese Sports Club Ground,91.5
"Sinhalese Sports Club Ground, Colombo",134.33
"Sir Vivian Richards Stadium, North Sound",129.0
"Sir Vivian Richards Stadium, North Sound, Antigua",122.16
Sky Stadium,135.0
"Sky Stadium, Wellington",174.33
"Solvangs Park, Glostrup",99.0
Sophia Gardens,144.29
"Sophia Gardens, Cardiff",147.4
Southend Club Cricket Stadium,136.0
"Southend Club Cricket Stadium, Karachi",105.0
"Sportpark Harga, Schiedam",116.33
Sportpark Het Schootsveld,136.17
"Sportpark Het Schootsveld, Deventer",133.8
Sportpark Maarschalkerweerd,92.8
"Sportpark Maarschalkerweerd, Utrecht",130.14
Sportpark Westvliet,140.67
"Sportpark Westvliet, The Hague",154.22
"Sportpark Westvliet, Voorburg",136.91
"St Albans Club, Buenos Aires",104.92000000000002
"St George's College Ground, Buenos Aires",102.33
St George's Park,131.67
"St George's Park, Gqeberha",136.14
St Georges Quilmes,82.67
St Lawrence Ground,137.0
"St Lawrence Ground, Canterbury",143.5
Stadium Australia,149.8
"Stars Arena Hofstade, Zemst",130.09
"Stubberudmyra Cricket Ground, Oslo",170.67
Subrata Roy Sahara Stadium,157.0
SuperSport Park,172.83
"SuperSport Park, Centurion",183.57
"Svanholm Park, Brondby",138.27
Sydney Cricket Ground,165.05
Sydney Parade,172.5
Sydney Showground Stadium,140.25
Sylhet International Cricket Stadium,130.63
"Sylhet International Cricket Stadium, Academy Ground",119.0
Sylhet Stadium,132.59
"TCA Oval, Blantyre",138.71
Tafawa Balewa Square (TBS) Cricket Oval,158.0
"Tafawa Balewa Square Cricket Oval, Lagos",117.05000000000001
Takashinga Sports Club,110.33
"Takashinga Sports Club, Highfield, Harare",137.92
Terdthai Cricket Ground,106.89
"Terdthai Cricket Ground, Bangkok",121.19
The Cooper Associates County Ground,199.5
"The Cooper Associates County Ground, Taunton",144.0
The Rose Bowl,160.1
"The Rose Bowl, Southampton",198.83
"The Village, Malahide",163.6
"The Village, Malahide, Dublin",149.11
The Wanderers Stadium,183.6
"The Wanderers Stadium, Johannesburg",206.4
"Three Ws Oval, Cave Hill, Barbados",147.67
Tikkurila Cricket Ground,130.09
"Titwood, Glasgow",162.33
Tolerance Oval,126.78
"Tolerance Oval, Abu Dhabi",123.35
Trent Bridge,153.58
"Trent Bridge, Nottingham",208.0
Tribhuvan University International Cricket Ground,152.5
"Tribhuvan University International Cricket Ground, Kirtipur",152.07
Turf City B Cricket Ground,51.0
"UKM-YSD Cricket Oval, Bangi",104.38
Udayana Cricket Ground,127.88
United Cricket Club Ground,142.89
"United Cricket Club Ground, Windhoek",124.67999999999999
University Oval,219.0
"University Oval, Dunedin",146.62
University of Dar-es-Salaam Ground,66.86
University of Doha for Science and Technology,159.58
University of Lagos Cricket Oval,125.5
VRA Ground,121.5
"VRA Ground, Amstelveen",114.0
Vanuatu Cricket Ground,99.7
Vanuatu Cricket Ground (Oval 2),81.75
"Vassil Levski National Sports Academy, Sofia",170.67
"Velden Cricket Ground, Latschach",171.22
"Vidarbha Cricket Association Stadium, Jamtha",141.8
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",90.0
W.A.C.A. Ground,118.40000000000002
Wanderers,134.0
Wanderers Cricket Ground,142.5
"Wanderers Cricket Ground, Windhoek",140.35
Wankhede Stadium,185.43
"Wankhede Stadium, Mumbai",162.4
"Warner Park, Basseterre",97.33
"Warner Park, Basseterre, St Kitts",167.5
"Warner Park, St Kitts",134.5
West End Park International Cricket Stadium,87.0
"West End Park International Cricket Stadium, Doha",142.14
Western Australia Cricket Association Ground,159.5
Westpac Stadium,152.94
"White Hill Field, Sandys Parish",132.58
Willowmoore Park,148.5
"Willowmoore Park, Benoni",150.53
"Windsor Park, Roseau",148.5
"Windsor Park, Roseau, Dominica",149.0
"Woodley Cricket Field, Los Angeles",108.58
YMCA Cricket Club,132.33
"YSD-UKM Cricket Oval, Bangi",117.03999999999999
Yeonhui Cricket Ground,101.59999999999998
"Yeonhui Cricket Ground, Incheon",120.89
Zahur Ahmed Chowdhury Stadium,145.31
"Zahur Ahmed Chowdhury Stadium, Chattogram",145.0
"Zayed Cricket Stadium, Abu Dhabi",136.69
Zhejiang University of Technology Cricket Field,103.15
